ID,GENE,%COVERAGE,%IDENTITY
Pasteurella multocida Pm70,gmhA/lpcA,90.77,85.31
Pasteurella multocida Pm70,lpxC,99.67,81.65
Pasteurella multocida Pm70,galE,100.0,78.27
Pasteurella multocida Pm70,msbB,92.27,74.13
Pasteurella multocida Pm70,wecA,98.13,75.86
Pasteurella multocida Pm70,lsgF,90.08,72.6
Pasteurella multocida Pm70,kdsA,98.83,79.64
Pasteurella multocida Pm70,bexA,89.45,73.08
Pasteurella multocida Pm70,kdsB,97.78,71.32
Pasteurella multocida Pm70,lpxK,80.78,71.03
Pasteurella multocida Pm70,msbA,98.47,73.73
Pasteurella multocida Pm70,rfaE,99.58,77.5
Pasteurella multocida Pm70,htrB,98.82,73.09
Pasteurella multocida Pm70,yhxB/manB,98.61,79.56
Pasteurella multocida Pm70,htpB,96.73,72.12
Pasteurella multocida Pm70,galU,96.28,79.53
Pasteurella multocida Pm70,lgtF,95.29,73.64
Pasteurella multocida Pm70,rfaD,100.0,80.28
Pasteurella multocida Pm70,orfM,98.98,76.94
Pasteurella multocida Pm70,rfaF,97.31,76.66
Pasteurella multocida Pm70,lpxD,97.56,78.2
Pasteurella multocida Pm70,lpxA,100.0,73.38
Pasteurella multocida Pm70,lpxB,97.1,73.18
Gallibacterium anatis UMN179,rfaE,98.18,74.17
Gallibacterium anatis UMN179,galE,99.61,73.36
Gallibacterium anatis UMN179,lpxC,97.28,76.97
Gallibacterium anatis UMN179,katA,94.13,73.11
Gallibacterium anatis UMN179,wecA,95.22,70.5
Gallibacterium anatis UMN179,htpB,97.58,73.35
Gallibacterium anatis UMN179,galU,98.54,74.17
Gallibacterium anatis UMN179,lpxA,100.0,74.53
Gallibacterium anatis UMN179,rfaD,99.68,79.68
Gallibacterium anatis UMN179,msbB,89.97,71.49
Gallibacterium anatis UMN179,gmhA/lpcA,98.97,80.66
Gallibacterium anatis UMN179,glf,93.77,72.79
Gallibacterium anatis UMN179,wbaP/rfbP,87.85,70.97
Gallibacterium anatis UMN179,rffG,97.04,70.4
Gallibacterium anatis UMN179,kdsA,100.0,76.49
Gallibacterium anatis DSM 16844,lpxA,100.0,74.78
